func,algo,run,best_f,seconds
F12022,MSBKA,8,4.7487777629e+02,0.28
F12022,MSBKA,9,3.5216712005e+02,0.27
F12022,MSBKA,10,4.4435647278e+02,0.27
F12022,MSBKA,11,4.3905738873e+02,0.27
F12022,MSBKA,0,4.7198620655e+02,0.28
F12022,MSBKA,1,5.3561529091e+02,0.28
F12022,MSBKA,2,3.7173345880e+02,0.28
F12022,MSBKA,3,6.1951204349e+02,0.28
F12022,MSBKA,12,4.5553572625e+02,0.31
F12022,MSBKA,13,3.8995976217e+02,0.27
F12022,MSBKA,14,3.2080241312e+02,0.28
F12022,MSBKA,15,3.0778230290e+02,0.27
F12022,MSBKA,4,3.7130942533e+02,0.31
F12022,MSBKA,5,3.3542124121e+02,0.28
F12022,MSBKA,6,4.5737401886e+02,0.28
F12022,MSBKA,7,5.0607859472e+02,0.28
F12022,MSBKA,28,3.2848799428e+02,0.28
F12022,MSBKA,29,4.1315023819e+02,0.28
F12022,BKA,0,3.4809336028e+02,0.23
F12022,BKA,1,3.8095922834e+02,0.22
F12022,MSBKA,16,5.6241905065e+02,0.28
F12022,MSBKA,17,3.6583635345e+02,0.27
F12022,MSBKA,18,6.1093346445e+02,0.28
F12022,MSBKA,19,4.2690624359e+02,0.28
F12022,MSBKA,24,5.8599770312e+02,0.27
F12022,MSBKA,25,4.2188467750e+02,0.27
F12022,MSBKA,26,4.2238906776e+02,0.28
F12022,MSBKA,27,3.7612059499e+02,0.28
F12022,MSBKA,20,6.7311936772e+02,0.28
F12022,MSBKA,21,3.2630712776e+02,0.28
F12022,MSBKA,22,4.0772954776e+02,0.29
F12022,MSBKA,23,3.2520502281e+02,0.28
F12022,BKA,2,3.5794238634e+02,0.21
F12022,BKA,3,3.4848562194e+02,0.21
F12022,BKA,4,3.6405298183e+02,0.21
F12022,BKA,5,3.1240861427e+02,0.21
F12022,BKA,6,3.3900012647e+02,0.21
F12022,BKA,7,3.7795391338e+02,0.21
F12022,BKA,8,3.1591123403e+02,0.21
F12022,BKA,9,4.3893033303e+02,0.21
F12022,BKA,10,1.9811013123e+03,0.21
F12022,BKA,11,6.7292898244e+02,0.21
F12022,BKA,12,8.8429288501e+02,0.21
F12022,BKA,13,4.4258694905e+02,0.20
F12022,BKA,14,4.0423412010e+02,0.21
F12022,BKA,15,5.4164389059e+02,0.21
F12022,BKA,16,3.0799281095e+02,0.21
F12022,BKA,17,4.9923725569e+02,0.20
F12022,BKA,18,3.9233225436e+02,0.21
F12022,BKA,19,3.2894772404e+02,0.21
F12022,BKA,20,3.4690365960e+03,0.21
F12022,BKA,21,4.5268056912e+02,0.21
F12022,BKA,26,8.7192604223e+02,0.21
F12022,BKA,27,3.0491661332e+02,0.21
F12022,BKA,28,4.5595142015e+02,0.21
F12022,BKA,29,3.0405175073e+02,0.21
F12022,BKA,22,2.2445037176e+03,0.21
F12022,BKA,23,4.4660719304e+02,0.21
F12022,BKA,24,3.2631494490e+02,0.21
F12022,BKA,25,7.4080960303e+02,0.21
F12022,BKA-S1,0,5.4532433305e+02,0.21
F12022,BKA-S1,1,3.7705680238e+02,0.21
F12022,BKA-S1,2,3.6270659249e+02,0.21
F12022,BKA-S1,3,3.7032270389e+02,0.21
F12022,BKA-S1,4,3.3006124684e+02,0.22
F12022,BKA-S1,5,4.3746096598e+02,0.21
F12022,BKA-S1,6,3.3097453966e+02,0.21
F12022,BKA-S1,7,1.2183544900e+03,0.21
F12022,BKA-S1,8,8.6382757882e+02,0.21
F12022,BKA-S1,9,3.3883540562e+02,0.20
F12022,BKA-S1,10,4.0529430636e+02,0.21
