dataset,algo,run,objective,risk,return
1,MSSBOA,8,-3.2982279441e-03,2.4557914438e-03,9.0522473321e-03
1,MSSBOA,9,-3.3037607024e-03,2.4599547774e-03,9.0674761823e-03
1,MSSBOA,10,-3.3039520260e-03,2.4600370229e-03,9.0679410749e-03
1,MSSBOA,11,-3.3038240394e-03,2.4600567322e-03,9.0677048109e-03
1,MSSBOA,12,-3.3038312605e-03,2.4600054580e-03,9.0676679789e-03
1,MSSBOA,13,-3.3036494506e-03,2.4611926883e-03,9.0684915896e-03
1,MSSBOA,14,-3.3039437154e-03,2.4599365446e-03,9.0678239753e-03
1,MSSBOA,15,-3.3038579162e-03,2.4600116264e-03,9.0677274589e-03
1,MSSBOA,0,-3.3036052727e-03,2.4613731818e-03,9.0685837272e-03
1,MSSBOA,1,-3.3037085532e-03,2.4597521152e-03,9.0671692217e-03
1,MSSBOA,2,-3.3039248446e-03,2.4600357309e-03,9.0678854201e-03
1,MSSBOA,3,-3.3036079164e-03,2.4590399418e-03,9.0662557746e-03
1,MSSBOA,4,-3.3039637418e-03,2.4600087565e-03,9.0679362401e-03
1,MSSBOA,5,-3.3039405606e-03,2.4600156704e-03,9.0678967917e-03
1,MSSBOA,6,-3.3039242510e-03,2.4600678823e-03,9.0679163844e-03
1,MSSBOA,7,-3.3039094275e-03,2.4601265732e-03,9.0679454281e-03
1,MSSBOA,16,-3.3037986589e-03,2.4601233085e-03,9.0677206263e-03
1,MSSBOA,17,-3.3037148666e-03,2.4613333344e-03,9.0687630677e-03
1,MSSBOA,18,-3.3039414063e-03,2.4601692174e-03,9.0680520300e-03
1,MSSBOA,19,-3.3037802313e-03,2.4598480159e-03,9.0674084784e-03
1,MSSBOA,20,-3.3038156441e-03,2.4599794371e-03,9.0676107254e-03
1,MSSBOA,21,-3.3038146979e-03,2.4601448250e-03,9.0677742209e-03
1,MSSBOA,22,-3.3031313816e-03,2.4676287797e-03,9.0738915429e-03
1,MSSBOA,23,-3.3039049784e-03,2.4600353853e-03,9.0678453420e-03
1,MSSBOA,24,-3.3038882321e-03,2.4600506628e-03,9.0678271270e-03
1,MSSBOA,25,-3.3039067685e-03,2.4602682550e-03,9.0680817919e-03
1,MSSBOA,26,-3.3039302748e-03,2.4601508783e-03,9.0680114279e-03
1,MSSBOA,27,-3.3038063887e-03,2.4597189401e-03,9.0673317175e-03
1,MSSBOA,28,-3.3037364180e-03,2.4603028018e-03,9.0677756377e-03
1,MSSBOA,29,-3.3039528086e-03,2.4600020782e-03,9.0679076955e-03
2,MSSBOA,0,-3.8521049364e-03,7.8007736583e-04,8.4842872387e-03
2,MSSBOA,1,-3.6590464206e-03,5.9718850682e-04,7.9152813480e-03
2,MSSBOA,2,-3.9834788618e-03,9.1932929426e-04,8.8862870179e-03
2,MSSBOA,3,-3.9833274011e-03,9.1494545794e-04,8.8816002601e-03
2,MSSBOA,4,-3.9758640280e-03,9.1143051374e-04,8.8631585698e-03
2,MSSBOA,5,-3.9873316169e-03,9.1562756573e-04,8.8902907995e-03
2,MSSBOA,10,-3.9859744148e-03,9.1438028438e-04,8.8863291139e-03
2,MSSBOA,11,-3.5797497647e-03,5.3706429821e-04,7.6965638277e-03
2,MSSBOA,12,-3.9889242741e-03,9.1723003215e-04,8.8950785804e-03
2,MSSBOA,13,-3.9892792943e-03,9.1776461995e-04,8.8963232085e-03
2,MSSBOA,6,-3.1715321867e-03,4.1394717792e-04,6.7570115513e-03
2,MSSBOA,7,-3.9282495783e-03,8.8436046333e-04,8.7408596199e-03
2,MSSBOA,8,-3.5071090708e-03,5.0949780199e-04,7.5237159437e-03
2,MSSBOA,9,-3.9872436451e-03,9.1692718925e-04,8.8914144795e-03
2,MSSBOA,14,-3.7279303653e-03,6.5011886371e-04,8.1059795942e-03
2,MSSBOA,15,-3.9858692863e-03,9.1426516079e-04,8.8860037335e-03
2,MSSBOA,16,-3.7943881611e-03,7.2768857819e-04,8.3164649004e-03
2,MSSBOA,17,-3.0075567044e-03,3.8759919761e-04,6.4027126065e-03
2,MSSBOA,18,-3.2770539157e-03,4.2672530348e-04,6.9808331349e-03
2,MSSBOA,19,-3.2264528805e-03,4.2432386755e-04,6.8772296286e-03
2,MSSBOA,20,-3.9698401336e-03,9.1248752275e-04,8.8521677899e-03
2,MSSBOA,21,-3.9871854108e-03,9.1649429136e-04,8.8908651129e-03
2,MSSBOA,22,-3.3900950210e-03,4.6749362108e-04,7.2476836631e-03
2,MSSBOA,23,-3.9895046335e-03,9.1795052243e-04,8.8969597895e-03
2,MSSBOA,24,-3.9124574670e-03,8.8098250635e-04,8.7058974404e-03
2,MSSBOA,25,-3.1492116407e-03,4.2766406162e-04,6.7260873430e-03
2,MSSBOA,26,-3.0724825521e-03,3.9650922879e-04,6.5414743329e-03
2,MSSBOA,27,-2.9692723938e-03,3.8313597787e-04,6.3216807654e-03
2,MSSBOA,28,-3.9875791134e-03,9.1667036253e-04,8.8918285892e-03
2,MSSBOA,29,-3.5280485407e-03,5.2252861118e-04,7.5786256926e-03
3,MSSBOA,0,-2.8942063832e-03,5.6322839267e-04,6.3516411590e-03
3,MSSBOA,1,-2.9401186986e-03,5.9676748195e-04,6.4770048792e-03
3,MSSBOA,2,-3.1674084302e-03,8.0986283966e-04,7.1446797001e-03
3,MSSBOA,3,-2.9180040614e-03,5.8108504269e-04,6.4170931654e-03
3,MSSBOA,8,-2.7123433885e-03,4.9410455554e-04,5.9187913326e-03
3,MSSBOA,9,-3.2987561801e-03,1.1449833421e-03,7.7424957022e-03
3,MSSBOA,10,-3.1356580363e-03,7.4663365240e-04,7.0179497249e-03
3,MSSBOA,11,-3.3090972423e-03,1.1850835180e-03,7.8032780027e-03
3,MSSBOA,4,-3.3196889262e-03,1.1924268925e-03,7.8318047448e-03
3,MSSBOA,5,-3.3231941817e-03,1.1914823832e-03,7.8378707465e-03
3,MSSBOA,6,-2.8383621795e-03,5.5622208895e-04,6.2329464479e-03
3,MSSBOA,7,-2.9138698416e-03,5.8377833869e-04,6.4115180219e-03
3,MSSBOA,12,-3.3230775656e-03,1.1914537837e-03,7.8376089150e-03
3,MSSBOA,13,-3.3168675619e-03,1.2433797778e-03,7.8771149017e-03
3,MSSBOA,14,-3.2453961018e-03,1.0407336523e-03,7.5315258559e-03
3,MSSBOA,15,-3.2705851415e-03,1.0523315998e-03,7.5935018828e-03
3,MSSBOA,16,-3.3227544703e-03,1.1914243505e-03,7.8369332910e-03
3,MSSBOA,17,-3.1485911401e-03,7.8669380466e-04,7.0838760848e-03
3,MSSBOA,18,-3.3194471203e-03,1.1929941840e-03,7.8318884246e-03
3,MSSBOA,19,-3.3193378653e-03,1.1825984311e-03,7.8212741618e-03
3,MSSBOA,24,-2.9709643020e-03,5.7859513376e-04,6.5205237377e-03
3,MSSBOA,25,-2.8209110312e-03,5.7787930708e-04,6.2197013695e-03
3,MSSBOA,26,-3.0861104187e-03,6.8859599060e-04,6.8608168281e-03
3,MSSBOA,27,-2.9372849067e-03,5.9007540766e-04,6.4646452210e-03
3,MSSBOA,20,-2.9127316870e-03,5.7833021749e-04,6.4037935915e-03
3,MSSBOA,21,-3.2028156198e-03,8.7545815928e-04,7.2810893990e-03
3,MSSBOA,22,-3.1848579368e-03,8.2510523490e-04,7.1948211086e-03
3,MSSBOA,23,-3.3199366423e-03,1.1943637037e-03,7.8342369883e-03
3,MSSBOA,28,-2.8192572290e-03,5.5473288671e-04,6.1932473447e-03
3,MSSBOA,29,-3.1602059219e-03,8.1177741625e-04,7.1321892600e-03
4,MSSBOA,0,-3.3477259967e-03,8.2000578040e-04,7.5154577738e-03
4,MSSBOA,1,-3.4524278995e-03,9.4598583322e-04,7.8508416322e-03
4,MSSBOA,6,-3.3254156381e-03,8.0185006620e-04,7.4526813425e-03
4,MSSBOA,7,-3.3869061122e-03,8.4275905901e-04,7.6165712833e-03
4,MSSBOA,8,-3.3246217800e-03,7.9933683802e-04,7.4485803981e-03
4,MSSBOA,9,-3.5612546351e-03,1.1475202087e-03,8.2700294789e-03
4,MSSBOA,2,-3.3935142707e-03,8.3526612823e-04,7.6222946695e-03
4,MSSBOA,3,-3.3675192870e-03,8.3991500071e-04,7.5749535748e-03
4,MSSBOA,4,-3.5499260936e-03,1.1280773320e-03,8.2279295191e-03
4,MSSBOA,5,-3.2791326958e-03,7.6475474579e-04,7.3230201374e-03
4,MSSBOA,18,-3.3663775953e-03,8.3862373153e-04,7.5713789221e-03
4,MSSBOA,19,-3.4259675501e-03,9.0579398821e-04,7.7577290884e-03
4,MSSBOA,20,-3.4855078152e-03,9.9473187007e-04,7.9657475005e-03
4,MSSBOA,21,-3.5079054427e-03,1.0571910994e-03,8.0730019848e-03
4,MSSBOA,10,-3.5928528048e-03,1.2319588440e-03,8.4176644535e-03
4,MSSBOA,11,-3.4494114550e-03,9.5624271833e-04,7.8550656284e-03
4,MSSBOA,12,-3.3007713043e-03,7.8241016727e-04,7.3839527759e-03
4,MSSBOA,13,-3.4187774320e-03,8.9228446225e-04,7.7298393263e-03
4,MSSBOA,14,-3.3108283138e-03,8.0322711105e-04,7.4248837387e-03
4,MSSBOA,15,-3.3357168801e-03,8.1018681003e-04,7.4816205703e-03
4,MSSBOA,16,-3.3292281967e-03,7.8587121375e-04,7.4443276071e-03
4,MSSBOA,17,-3.4450943382e-03,9.4802294842e-04,7.8382116247e-03
5,MSSBOA,0,-1.3269898428e-03,7.1137413579e-04,3.3653538215e-03
5,MSSBOA,1,-1.3419077288e-03,7.0419423117e-04,3.3880096887e-03
5,MSSBOA,2,-1.3500991265e-03,7.0319597291e-04,3.4033942260e-03
5,MSSBOA,3,-1.3401293930e-03,7.0357248380e-04,3.3838312699e-03
4,MSSBOA,22,-3.3288634459e-03,8.0345249220e-04,7.4611793840e-03
4,MSSBOA,23,-3.4902513413e-03,9.8773350464e-04,7.9682361873e-03
4,MSSBOA,24,-3.2233393182e-03,7.4406794486e-04,7.1907465813e-03
4,MSSBOA,25,-3.2478466923e-03,7.4274873329e-04,7.2384421178e-03
4,MSSBOA,26,-3.4494913727e-03,9.4199289714e-04,7.8409756425e-03
4,MSSBOA,27,-3.3966948814e-03,8.6176338987e-04,7.6551531526e-03
4,MSSBOA,28,-3.3589998166e-03,7.7243503708e-04,7.4904346702e-03
4,MSSBOA,29,-3.4929410528e-03,1.0177541448e-03,8.0036362504e-03
5,MSSBOA,4,-1.3049390618e-03,6.9378536186e-04,3.3036634855e-03
5,MSSBOA,5,-1.3535274370e-03,7.0763084131e-04,3.4146857152e-03
5,MSSBOA,6,-1.3827502483e-03,7.0160805751e-04,3.4671085542e-03
