study,algo,func,dim,run,error
variants,MSSBOA,F1,10,8,6.5707702754e+02
variants,MSSBOA,F1,10,9,2.1998096994e+03
variants,MSSBOA,F1,10,10,3.8396807508e+03
variants,MSSBOA,F1,10,11,1.1200620800e+03
variants,MSSBOA,F1,10,4,1.0104457963e+03
variants,MSSBOA,F1,10,5,2.5447050880e+04
variants,MSSBOA,F1,10,6,8.2334208170e+03
variants,MSSBOA,F1,10,7,9.3043765677e+02
variants,MSSBOA,F1,10,0,1.8587677775e+04
variants,MSSBOA,F1,10,1,1.8114852883e+03
variants,MSSBOA,F1,10,2,4.0953796748e+03
variants,MSSBOA,F1,10,3,1.6367041872e+03
variants,MSSBOA,F1,10,12,1.3275607935e+03
variants,MSSBOA,F1,10,13,1.6953145768e+03
variants,MSSBOA,F1,10,14,1.5654180931e+03
variants,MSSBOA,F1,10,15,5.8431554779e+03
variants,MSSBOA,F1,10,16,7.6045402532e+02
variants,MSSBOA,F1,10,17,3.3603742690e+03
variants,MSSBOA,F1,10,18,3.1445800551e+03
variants,MSSBOA,F1,10,19,2.8745549072e+03
variants,MSSBOA,F1,10,20,3.5615142309e+03
variants,MSSBOA,F1,10,21,2.4296047340e+03
variants,MSSBOA,F1,10,22,1.6331405419e+03
variants,MSSBOA,F1,10,23,3.0362910992e+03
variants,MSSBOA,F1,10,24,1.0131760156e+03
variants,MSSBOA,F1,10,25,3.9213662864e+04
variants,MSSBOA,F1,10,26,1.1483538821e+04
variants,MSSBOA,F1,10,27,7.6170631598e+03
variants,MSSBOA,F1,10,28,2.2136093427e+03
variants,MSSBOA,F1,10,29,1.4972755703e+04
variants,MSSBOA,F3,10,0,2.3017256772e+02
variants,MSSBOA,F3,10,1,1.8902385818e+02
variants,MSSBOA,F3,10,6,1.4759430412e+02
variants,MSSBOA,F3,10,7,1.6288542996e+02
variants,MSSBOA,F3,10,8,2.1145447583e+01
variants,MSSBOA,F3,10,9,1.0504735904e+02
variants,MSSBOA,F3,10,10,9.4303444764e+01
variants,MSSBOA,F3,10,11,4.4893409892e+01
variants,MSSBOA,F3,10,12,1.0749402953e+02
variants,MSSBOA,F3,10,13,2.6189335286e+01
variants,MSSBOA,F3,10,2,3.5265935208e+01
variants,MSSBOA,F3,10,3,9.3869281836e+01
variants,MSSBOA,F3,10,4,9.9144177612e+01
variants,MSSBOA,F3,10,5,1.8154607427e+02
variants,MSSBOA,F3,10,14,3.9162100209e+02
variants,MSSBOA,F3,10,15,2.0716287188e+02
variants,MSSBOA,F3,10,16,7.2001735902e+00
variants,MSSBOA,F3,10,17,3.0822532910e+01
variants,MSSBOA,F3,10,18,1.4738604639e+02
variants,MSSBOA,F3,10,19,2.6513513899e+02
variants,MSSBOA,F3,10,20,5.8565689892e+01
variants,MSSBOA,F3,10,21,9.8603285742e+01
variants,MSSBOA,F4,10,0,6.8548092281e+00
variants,MSSBOA,F4,10,1,6.1017133165e+00
variants,MSSBOA,F4,10,2,5.0560870790e+00
variants,MSSBOA,F4,10,3,7.3727623848e+00
variants,MSSBOA,F3,10,22,5.7831979467e+02
variants,MSSBOA,F3,10,23,1.4006701389e+03
variants,MSSBOA,F3,10,24,1.4910780023e+02
variants,MSSBOA,F3,10,25,8.4692885472e+01
variants,MSSBOA,F3,10,26,2.3732632407e+01
variants,MSSBOA,F3,10,27,2.1203802962e+02
variants,MSSBOA,F3,10,28,2.5319160191e+02
variants,MSSBOA,F3,10,29,2.9274980085e+01
variants,MSSBOA,F4,10,4,3.4279809598e+00
variants,MSSBOA,F4,10,5,7.1273520339e+00
variants,MSSBOA,F4,10,6,5.6312814187e+00
variants,MSSBOA,F4,10,7,5.2151517531e+00
variants,MSSBOA,F4,10,8,6.2412118876e+00
variants,MSSBOA,F4,10,9,6.5217374026e+00
variants,MSSBOA,F4,10,10,3.3458781869e+00
variants,MSSBOA,F4,10,11,6.1096558821e+00
variants,MSSBOA,F4,10,12,6.0293124128e+00
variants,MSSBOA,F4,10,13,6.7150522223e+00
variants,MSSBOA,F4,10,14,6.0487773162e+00
variants,MSSBOA,F4,10,15,6.9695910775e+00
variants,MSSBOA,F4,10,16,6.5909601646e+00
variants,MSSBOA,F4,10,17,6.3290814468e+00
variants,MSSBOA,F4,10,18,6.1350858901e+00
variants,MSSBOA,F4,10,19,4.6891498529e+00
variants,MSSBOA,F4,10,20,6.7833289692e+00
variants,MSSBOA,F4,10,21,6.5080270505e+00
variants,MSSBOA,F4,10,22,7.1998160936e+00
variants,MSSBOA,F4,10,23,6.7967335524e+00
